Label,ID,Count of Links,Entity Short Form,Tags,Type,SubType,OrgClass,OrgSubType,Portfolio,EntityToType (from Connections - Entity To),EntityFromType (from Connections - Entity From),URL,Source of Entry,Contributor - Private,Connection Notes,Admin Flag,Admin Notes,Data Provider,Possible Duplicate,Record Status,Attachments,DataSize,Climate Size,Not4DERD,Has Data Strategy?,Count (Tags),Last Modified By,Last Modified,Created,Connections - Entity From,Connections - Entity To,To ID,From ID,Count (Connections - Entity From),Count (Connections - Entity To),Entity To Tags (from Connections - Entity To),Entity From Tags (from Connections - Entity From),URL 2,Image,French Entity Full Name,Entity Type FR (from Type),Entity sub-type FR (from SubType),French Short Form,FrenchOrgClassName (from OrgClass 2),French URL,FrenchAvail?,Add new entity form text,Entity Lookup,Form Section - finished required,Comments Test,Suggested Tags,Contacts,DigitalTalentSize,Entity To (from Connections - Entity From),Entity From (from Connections - Entity To),ID Text,Entity Type Eng (from Type),Entity sub-type (from SubType),Name (from OrgClass),Name (from Portfolio),Name (from Tags)
BEC Site Series - Attribute Catalogue,4324,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/1137004b-39bc-4b52-aefc-cc9328f1384b,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4187, 4188, 4189","4187, 4188, 4189",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4324,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
Bioclimate Zones and Subzones,4325,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/95c7d272-dd9d-1406-02e1-564bd8139c6c,From OPEN DATA and From FGP,,,,,Yukon Government,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4190, 4191, 4192","4190, 4191, 4192",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, Yukon Government, Open Data Portal",4325,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
Biophysical Plots,4326,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/376a78f8-f123-6e73-1b7b-27f21b09d49d,From OPEN DATA and From FGP,,,,,Yukon Government,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4193, 4194, 4195","4193, 4194, 4195",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, Yukon Government, Open Data Portal",4326,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
Blended Index – Long Term,4327,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/b1c73404-1aee-4a59-ad5d-eda7db046676,From OPEN DATA and From FGP,,,,,Agriculture and Agri-Food Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4196, 4197, 4198","4196, 4197, 4198",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Agriculture and Agri-Food Canada (AAFC), Federal Geospatial Platform, Open Data Portal",4327,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Blended Index – Short Term,4328,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/0bc9af0a-0bf5-4ca9-a10a-fcaf1cc326b9,From OPEN DATA and From FGP,,,,,Agriculture and Agri-Food Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4199, 4200, 4201","4199, 4200, 4201",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Agriculture and Agri-Food Canada (AAFC), Federal Geospatial Platform, Open Data Portal",4328,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Boreal Caribou Ranges - Canada,4329,1,,"Climate, Geospatial",Dataset,Web Map Services,Government of Canada,,,Dataset,,https://ec.gc.ca/arcgis/rest/services/SpeciesProtectRestore_Canada_CanadianWildlifeService/MapServer/1,From FGP,,,,Supports OSDP Biodiversity,,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,4202,4202,,1,0,"Climate, Geospatial",,,,,Ensemble de données,Services de cartes Web,,Gouvernement du Canada,,,,,,,,,,,Federal Geospatial Platform,4329,Dataset,Web Map Services,Government of Canada,,"Climate, Geospatial"
Boreal Felt Lichen (Erioderma pedicellatum) - Critical Habitat for Species at Risk – Atlantic Canada (Nova Scotia),4330,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/2bbbb74b-8555-48e3-a84e-5687997fddb5,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4203, 4204, 4205","4203, 4204, 4205",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4330,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
British Columbia Lightstation Sea-Surface Temperature and Salinity Data (Pacific) -  1914-present,4331,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/719955f2-bf8e-44f7-bc26-6bd623e82884,From OPEN DATA and From FGP,,,,,Fisheries and Oceans Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5123, 5160","5123, 5160",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4331,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canada Wide Vegetation Biophysical Parameters from Medium Resolution Satellite Imagery,4332,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/033ac0b8-653c-43b2-a843-171fa1c9ace4,From OPEN DATA and From FGP,,,,,Natural Resources Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4209, 4210, 4211","4209, 4210, 4211",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Natural Resources Canada (NRCan), Open Data Portal",4332,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian Drought Monitor,4333,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/292646cd-619f-4200-afb1-8b2c52f984a2,From OPEN DATA and From FGP,,,,,Agriculture and Agri-Food Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4212, 4213, 4214","4212, 4213, 4214",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Agriculture and Agri-Food Canada (AAFC), Federal Geospatial Platform, Open Data Portal",4333,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian Drought Outlook,4334,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/2c82daab-f6d9-4b19-96b5-238249e09fb9,From OPEN DATA and From FGP,,,,,Agriculture and Agri-Food Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4215, 4216, 4217","4215, 4216, 4217",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Agriculture and Agri-Food Canada (AAFC), Federal Geospatial Platform, Open Data Portal",4334,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian Gridded Precipitation Anomalies,4335,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/e61aea77-b71b-4c60-aa7b-8fbe5becebe8,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4218, 4219, 4220","4218, 4219, 4220",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4335,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian Gridded Temperature and Precipitation Anomalies (CANGRD),4336,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/3d4b68a5-13bc-48bb-ad10-801128aa6604,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4221, 4222, 4223","4221, 4222, 4223",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4336,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian Gridded Temperature Anomalies,4337,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/e55959c6-ee52-46e9-9fb2-ef993f040ea6,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4224, 4225, 4226","4224, 4225, 4226",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4337,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian National Tornado Database: Verified Events (1980-2009) - Public,4338,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/f314a39f-009d-430b-97b9-d6e0cae22340,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4227, 4228, 4229","4227, 4228, 4229",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4338,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian National Tornado Database: Verified Events (1980-2009) - Public GIS EN,4339,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/fd3355a7-ae34-4df7-b477-07306182db69,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4230, 4231, 4232","4230, 4231, 4232",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4339,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian National Tornado Database: Verified Events (1980-2009) - Public GIS FR,4340,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/8c4f9a92-dfe7-4c9b-9e6e-10e66af9a769,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4233, 4234, 4235","4233, 4234, 4235",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4340,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian National Tornado Database: Verified Tracks (1980-2009) - Public GIS EN,4341,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/65658050-7a80-4da3-9a09-da137c203a34,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4236, 4237, 4238","4236, 4237, 4238",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4341,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian National Tornado Database: Verified Tracks (1980-2009) - Public GIS FR,4342,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/32219f6e-5e1b-4aa1-81e8-5cfe4622160b,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4239, 4240, 4241","4239, 4240, 4241",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4342,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Canadian Seasonal to Inter-annual Prediction System,4343,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/922781a9-bfef-56b9-a438-493ada629d47,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4242, 4243, 4244","4242, 4243, 4244",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Environment and Climate Change Canada (ECCC), Federal Geospatial Platform, Open Data Portal",4343,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
CEEI Primary Indicators Per Capita 2007 Communities,4344,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/3fddbb00-86d0-4a8a-9013-65cd47a6474f,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4245, 4246, 4247","4245, 4246, 4247",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4344,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Primary Indicators Per Capita 2007 Regional Districts,4345,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/fb979ed6-9d05-4de8-b1b6-f8acb212bfcb,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4248, 4249, 4250","4248, 4249, 4250",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4345,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Primary Indicators Total 2007 Communities,4346,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/2f877f48-674c-454c-b2aa-13cdec083ba7,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4251, 4252, 4253","4251, 4252, 4253",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4346,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Primary Indicators Total 2007 Regional Districts,4347,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/05a664ce-c255-43dd-98a0-ea9735d08f8f,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4254, 4255, 4256","4254, 4255, 4256",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4347,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Supporting Indicators Total 1996 Communities,4348,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/96902bad-6f35-4440-a2eb-d428abef5602,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4257, 4258, 4259","4257, 4258, 4259",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4348,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Supporting Indicators Total 1996 Regional Districts,4349,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/dd1c1225-3a4c-4181-85d2-2c07f05a91ca,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4260, 4261, 4262","4260, 4261, 4262",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4349,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Supporting Indicators Total 2001 Communities,4350,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/c19e11b8-8e75-45ae-9faa-c398d116026a,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4263, 4264, 4265","4263, 4264, 4265",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4350,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Supporting Indicators Total 2001 Regional Districts,4351,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/21486b7c-480a-4757-a7f8-8c780d156249,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4266, 4267, 4268","4266, 4267, 4268",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4351,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Supporting Indicators Total 2006 Communities,4352,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/cfbd1e7a-eaf7-4f18-92d1-6c52ddee9d51,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4269, 4270, 4271","4269, 4270, 4271",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4352,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Supporting Indicators Total 2006 Regional Districts,4353,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/d1be3579-82af-489b-90dd-3463c06dee58,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4272, 4273, 4274","4272, 4273, 4274",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4353,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Supporting Indicators Total 2009 Communities,4354,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/a9eb4249-5e75-474a-b58b-4a88908037d5,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4275, 4276, 4277","4275, 4276, 4277",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4354,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
CEEI Supporting Indicators Total 2009 Regional Districts,4355,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/32966665-8e5c-4f9e-b10d-311355f2a1f0,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4278, 4279, 4280","4278, 4279, 4280",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4355,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
